shiptype,length,length,length,length,length,length,width,width,width,width,width,width,draught,draught,draught,draught,draught,draught,area,area,area,area,area,area
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
Cargo,189669,137.00727583316197,119.0,58.60774756401056,11.0,602.0,189669,20.550775298019182,17.0,9.044082199769079,4.0,60.0,189307,6.598695769305943,6.1,2.613659373993114,1.0,15.5,189669,3321.584549926451,1972.0,3226.4053472815394,44.0,23940.0
Dredging,5413,67.4213929429152,66.0,37.04860324918697,7.0,190.0,5413,11.527803436172178,9.0,5.86669898506061,3.0,36.0,5203,4.261714395541034,3.8,2.7047402217168015,0.8,25.5,5413,964.845372251986,675.0,1086.106782678731,21.0,5688.0
Fishing,23749,25.506126573750475,17.0,19.0881799477675,5.0,120.0,23749,6.816329108594046,6.0,3.334193258447396,2.0,19.0,13675,5.417001828153565,4.0,4.245546902394959,1.8,25.5,23749,233.43627100088426,102.0,317.8417700732154,10.0,2280.0
HSC,3753,79.34958699706901,109.0,37.22273956308136,4.0,112.0,3753,22.153210764721557,30.0,10.684800093643336,3.0,31.0,3743,2.762089233235373,3.0,0.7879962719358138,1.1,3.9,3753,2152.122302158273,3270.0,1439.7188857017518,12.0,3472.0
Law enforcement,1635,33.38654434250765,20.0,21.949280914543987,6.0,81.0,1635,9.209785932721713,8.0,3.3795992665724706,2.0,16.0,1608,2.539987562189055,1.5,1.576696900946931,0.5,5.7,1635,376.7816513761468,160.0,402.7000434563167,12.0,1296.0
Military,6847,55.20490725865343,43.0,35.491218244349184,7.0,287.0,6847,10.2497444136118,9.0,4.273257188792459,2.0,42.0,6387,3.400626272115234,2.7,1.4080423945087845,1.9,8.0,6847,706.2266686139915,387.0,818.7000630234558,14.0,12054.0
Passenger,17689,166.41709537000395,178.0,65.28134354063825,7.0,344.0,17689,26.410763751483973,30.0,7.893969548595569,2.0,54.0,16870,5.649739181979847,6.0,1.2463905764207668,1.8,8.6,17689,4862.7961444965795,5340.0,2543.3552924978976,14.0,18576.0
Pilot,3915,15.254150702426564,15.0,3.805709345262011,5.0,95.0,3915,4.774968071519796,5.0,0.8477248506044751,2.0,20.0,3141,1.5619229544730977,1.5,0.23789548724577597,1.5,5.2,3915,75.6845466155811,75.0,83.24614187280244,10.0,1900.0
Pleasure,3882,12.055126223596085,12.0,4.84844261296673,2.0,104.0,3882,3.8426069036579085,4.0,1.397612055765759,1.0,15.0,123,1.6691056910569106,1.9,0.4477869226340811,1.0,2.7,3882,51.441009788768675,44.0,37.891200894004434,5.0,416.0
Port tender,243,14.563786008230453,13.0,6.841101270895379,8.0,27.0,243,5.078189300411522,5.0,1.8016457160971822,3.0,8.0,55,1.9854545454545456,2.0,0.07556743816246327,1.6,2.0,243,85.54320987654322,65.0,70.87983942975606,24.0,216.0
Reserved,771,43.047989623865114,30.0,36.45996246345098,8.0,295.0,771,11.367055771725033,10.0,8.668432295583743,4.0,78.0,703,3.2512091038406825,3.4,1.2487238341795426,1.2,6.5,771,776.7133592736706,256.0,2475.6858899146728,56.0,23010.0
SAR,1853,15.015110631408527,15.0,8.43759895237778,4.0,35.0,1853,3.9104155423637343,4.0,1.3642949626667524,1.0,8.0,542,2.1931734317343174,2.5,1.1205068348333933,0.4,3.6,1853,69.2369131138694,60.0,57.26665015381674,5.0,210.0
Sailing,2429,16.214079868258544,13.0,11.595720793471287,6.0,85.0,2429,4.549197200494031,4.0,2.146351539672329,2.0,18.0,182,3.372527472527473,3.1,0.9721612232507889,2.2,4.9,2429,95.4549197200494,52.0,174.3963137921653,16.0,1530.0
Tanker,78486,165.17925489896288,174.0,58.378694541221385,37.0,690.0,78486,26.890044084295287,26.0,10.748683280836815,8.0,60.0,78486,8.161068215987564,7.2,2.800242438108561,2.0,20.5,78486,5056.443900823077,4392.0,3617.111115534799,296.0,20400.0
Towing,1034,26.68568665377176,24.0,11.256528627855694,13.0,50.0,1034,8.344294003868471,8.0,2.984540894516031,4.0,14.0,1034,3.565183752417795,3.2,2.4242176440968892,1.7,25.5,1034,254.0019342359768,192.0,204.54036966568094,60.0,700.0
Towing long/wide,586,27.300341296928327,28.0,2.582366214914663,24.0,36.0,586,8.634812286689419,9.0,0.8267429962191982,8.0,12.0,586,4.417064846416382,5.0,0.9505278349519931,2.8,6.1,586,237.679180887372,252.0,47.8432570069943,192.0,432.0
Tug,9925,39.990629722921916,32.0,30.509819169509655,5.0,137.0,9925,11.51808564231738,12.0,3.606026400816576,2.0,22.0,9661,4.803063865024325,4.9,1.9564939198858342,1.6,25.5,9925,555.3798488664987,360.0,680.223730292986,10.0,2877.0
